Bank,Year,Assets,NetProfit,NIC,ROA,Size,NIC_A,GDP,INF,EXC
Akbank T.A.Ş.,2002,24452559.0,685448.0,110008.0,0.0280317491514896,17.012245430985097,0.0044988338439342,6.4355088481566,,1.5058395256917
Akbank T.A.Ş.,2003,29484259.0,1324524.0,197032.0,0.0449230892999549,17.199367085678183,0.0066826166463942,5.7990932017934,,1.49306776
Akbank T.A.Ş.,2004,34913412.0,1020528.0,426569.0,0.0292302568422702,17.368381611343363,0.0122179121307307,9.9254055215426,8.5982616811527,1.4223412301587
Akbank T.A.Ş.,2005,52384532.0,1438294.0,636367.0,0.0274564636751932,17.774121914874183,0.0121479943736063,9.1115774633457,8.17916036802,1.3407909448819
Akbank T.A.Ş.,2006,57272590.0,1600192.0,806921.0,0.0279399272845876,17.863332707723213,0.0140891305945828,7.0676260779544,9.5972421228844,1.4311067729084
Akbank T.A.Ş.,2007,68204750.0,1994294.0,946358.0,0.0292398110102302,18.038024768482217,0.0138752506240401,5.1081851387958,8.7561809097264,1.3015083333333
Akbank T.A.Ş.,2008,85655014.0,1704553.0,1091896.0,0.0199002127301035,18.265838321593066,0.0127476016757174,0.92011821604875,10.444128376489,1.2929075697211
Akbank T.A.Ş.,2009,95309463.0,2725982.0,1279844.0,0.0286013782283087,18.372639660651792,0.013428299349457,-4.8826940134567,6.2509766309063,1.5470646825397
Akbank T.A.Ş.,2010,113182614.0,2856529.0,1309097.0,0.0252382313771265,18.54451312536529,0.0115662375495232,8.5421984780215,8.5664442055297,1.500364
Akbank T.A.Ş.,2011,133551833.0,2394527.0,1578520.0,0.0179295704612305,18.71000022262261,0.0118195307734937,10.979962531414,6.471879671151,1.67
Akbank T.A.Ş.,2012,155853538.0,2949862.0,1735092.0,0.0189271417117268,18.864427265235317,0.0111328367791047,4.8076269705277,8.8915699651216,1.7924972332016
Akbank T.A.Ş.,2013,183737322.0,2942042.0,2163749.0,0.0160122177028355,19.02901769775853,0.0117763172797304,8.4882568867256,7.493090305477,1.9013088
Akbank T.A.Ş.,2014,205450620.0,3159678.0,2358780.0,0.0153792575559032,19.14071627105502,0.0114810069689738,4.6007944759306,8.8545727136432,2.1878581673307
Akbank T.A.Ş.,2015,234808988.0,2994848.0,2354254.0,0.0127544010368121,19.27428292457229,0.0100262516356486,5.8055738647945,7.6708536484588,2.7200162055336
Akbank T.A.Ş.,2016,271016470.0,4528712.0,2397947.0,0.0167100988364286,19.417690151905003,0.0088479751802538,3.323665083597,7.7751341532833,3.0212450199203
Akbank T.A.Ş.,2017,316030868.0,6039069.0,2744763.0,0.0191091112023905,19.571350450324765,0.0086851104683862,7.825857301125,11.144311084076,3.6476845849802
Akbank T.A.Ş.,2018,327642125.0,5689644.0,3450047.0,0.0173654227154093,19.607432488367714,0.010529924990567,3.4681530563351,16.332463898893,4.8134494023904
Akbank T.A.Ş.,2019,360501112.0,5417468.0,4634359.0,0.0150276041312183,19.70300559928924,0.0128553251175547,1.3016236542392,15.176821572002,5.6708297188755
Akbank T.A.Ş.,2020,446100801.0,6267167.0,3865536.0,0.0140487687669496,19.916055495658416,0.0086651626523306,1.8030624719627,12.278957446257,7.0090301587302
Akbank T.A.Ş.,2021,708911295.0,12125908.0,5232526.0,0.0171049722095343,20.37924096383416,0.0073810729733118,11.811094450408,19.596492691332,8.8853682730924
Akbank T.A.Ş.,2022,1075186455.0,60024084.0,10315549.0,0.0558266742673948,20.79575992999756,0.0095941954551501,5.4412251147839,72.308835989121,16.563770238095
Akbank T.A.Ş.,2023,1789174174.0,66478940.0,30832418.0,0.0371562148426137,21.30501999503471,0.0172327649527094,5.045123697229,53.859408759332,23.743790118577
Akbank T.A.Ş.,2024,2515596654.0,42366070.0,69162482.0,0.0168413604512609,21.64577585053256,0.0274934703423246,3.3276230886148,58.506450730034,32.7921452
Aktif Yatırım Bankası A.Ş.,2002,58352.0,4951.0,220.0,0.0848471346312037,10.97424891304846,0.0037702221003564,6.4355088481566,,1.5058395256917
Aktif Yatırım Bankası A.Ş.,2003,67296.0,6622.0,848.0,0.0984010936757013,11.116856078502426,0.0126010461245839,5.7990932017934,,1.49306776
Aktif Yatırım Bankası A.Ş.,2004,72676.0,3317.2399,2595.0,0.0456442278056029,11.193766485222332,0.0357064230282349,9.9254055215426,8.5982616811527,1.4223412301587
Aktif Yatırım Bankası A.Ş.,2005,64199.0,4296.0,2514.0,0.0669169301702518,11.069742913232751,0.0391594884655524,9.1115774633457,8.17916036802,1.3407909448819
Aktif Yatırım Bankası A.Ş.,2006,66792.0,5198.0,2396.0,0.077823691460055,11.109338591873836,0.0358725595879746,7.0676260779544,9.5972421228844,1.4311067729084
Aktif Yatırım Bankası A.Ş.,2007,111680.0,2670.0,2274.0,0.0239075931232091,11.6233929179962,0.0203617478510028,5.1081851387958,8.7561809097264,1.3015083333333
Aktif Yatırım Bankası A.Ş.,2008,251680.0,1599.0,3533.0,0.0063533057851239,12.435913718292104,0.0140376668785759,0.92011821604875,10.444128376489,1.2929075697211
Aktif Yatırım Bankası A.Ş.,2009,578047.0,9308.0,5227.0,0.016102496855792,13.267410459227532,0.0090425173039562,-4.8826940134567,6.2509766309063,1.5470646825397
Aktif Yatırım Bankası A.Ş.,2010,1479392.0,35105.0,28334.0,0.023729342865177,14.207141750523608,0.019152462633298,8.5421984780215,8.5664442055297,1.500364
Aktif Yatırım Bankası A.Ş.,2011,2552810.0,50029.0,112710.0,0.0195976198777033,14.752705271205812,0.0441513469470896,10.979962531414,6.471879671151,1.67
Aktif Yatırım Bankası A.Ş.,2012,3519925.0,82209.0,42422.0,0.0233553271731642,15.073950240529104,0.0120519613344034,4.8076269705277,8.8915699651216,1.7924972332016
Aktif Yatırım Bankası A.Ş.,2013,5104307.0,93822.0,78128.0,0.0183809476976992,15.44559525110071,0.0153062893748358,8.4882568867256,7.493090305477,1.9013088
Aktif Yatırım Bankası A.Ş.,2014,6260724.0,80750.0,35047.0,0.0128978693199061,15.64980639134084,0.005597914873743,4.6007944759306,8.8545727136432,2.1878581673307
Aktif Yatırım Bankası A.Ş.,2015,7560462.0,80864.0,59307.0,0.0106956426736884,15.83844285739962,0.00784436189217,5.8055738647945,7.6708536484588,2.7200162055336
Aktif Yatırım Bankası A.Ş.,2016,9538248.0,111132.0,96882.0,0.0116511963203305,16.070820378760406,0.0101572112614392,3.323665083597,7.7751341532833,3.0212450199203
Aktif Yatırım Bankası A.Ş.,2017,11105683.0,177947.0,165322.0,0.0160230577443998,16.222967517246488,0.0148862523808756,7.825857301125,11.144311084076,3.6476845849802
Aktif Yatırım Bankası A.Ş.,2018,13516742.0,262670.0,88152.0,0.0194329373158117,16.41943962320827,0.0065216899161055,3.4681530563351,16.332463898893,4.8134494023904
Aktif Yatırım Bankası A.Ş.,2019,17856078.0,341683.0,59452.0,0.0191353890815217,16.697854512433203,0.0033295105453728,1.3016236542392,15.176821572002,5.6708297188755
Aktif Yatırım Bankası A.Ş.,2020,21182781.0,450644.0,37720.0,0.0212740716150537,16.868699192634182,0.0017806915909672,1.8030624719627,12.278957446257,7.0090301587302
Aktif Yatırım Bankası A.Ş.,2021,34482593.0,696063.0,82743.0,0.0201859239529927,17.355965203948404,0.0023995585250795,11.811094450408,19.596492691332,8.8853682730924
Aktif Yatırım Bankası A.Ş.,2022,48724775.0,1900416.0,291218.0,0.0390030738982376,17.701698185594545,0.0059767951724764,5.4412251147839,72.308835989121,16.563770238095
Aktif Yatırım Bankası A.Ş.,2023,75277535.0,3863728.0,458381.0,0.051326441547269,18.13669230828446,0.0060892137342169,5.045123697229,53.859408759332,23.743790118577
Aktif Yatırım Bankası A.Ş.,2024,101703128.0,4250788.0,662533.0,0.0417960399408757,18.437568617674607,0.0065143817405498,3.3276230886148,58.506450730034,32.7921452
Alternatifbank A.Ş.,2002,1247543.0,10125.0,8389.0,0.0081159527166598,14.036686574951649,0.0067244175150676,6.4355088481566,,1.5058395256917
